K = 8, D = 4, C = 4
config1 =

  scalar structure containing the fields:

    ndisc =  4
    ncont =  4
    nintr = 0


K = 8, Run (2,5,3): fitness => -8.77
K = 8, Run (2,5,4): fitness => -8.77
K = 8, Run (2,5,5): fitness => -8.77

K = 8, Run (2,6,1): fitness => -8.77
K = 8, Run (2,6,2): fitness => -8.77
K = 8, Run (2,6,3): fitness => -8.77
K = 8, Run (2,6,4): fitness => -8.77
K = 8, Run (2,6,5): fitness => -8.77

K = 8, Run (2,7,1): fitness => -8.77
K = 8, Run (2,7,2): fitness => -8.77
K = 8, Run (2,7,3): fitness => -8.77
K = 8, Run (2,7,4): fitness => -8.77
K = 8, Run (2,7,5): fitness => -8.77

K = 8, Run (2,8,1): fitness => -8.77
K = 8, Run (2,8,2): fitness => -8.77
K = 8, Run (2,8,3): fitness => -8.77
K = 8, Run (2,8,4): fitness => -8.77
K = 8, Run (2,8,5): fitness => -8.77

K = 8, Run (2,9,1): fitness => -8.77
K = 8, Run (2,9,2): fitness => -8.77
K = 8, Run (2,9,3): fitness => -8.77
K = 8, Run (2,9,4): fitness => -8.77
K = 8, Run (2,9,5): fitness => -8.77

K = 8, Run (2,10,1): fitness => -8.77
K = 8, Run (2,10,2): fitness => -8.77
K = 8, Run (2,10,3): fitness => -8.77
K = 8, Run (2,10,4): fitness => -8.77
K = 8, Run (2,10,5): fitness => -8.77

#-8.77

real	0m3.012s
user	0m2.875s
sys	0m0.074s
K = 8, D = 4, C = 4
config1 =

  scalar structure containing the fields:

    ndisc =  4
    ncont =  4
    nintr = 0


K = 8, Run (1,1,1): fitness => -9.82
K = 8, Run (1,1,2): fitness => -9.71
K = 8, Run (1,1,3): fitness => -9.65
K = 8, Run (1,1,4): fitness => -9.62
K = 8, Run (1,1,5): fitness => -9.60

K = 8, Run (1,2,1): fitness => -9.69
K = 8, Run (1,2,2): fitness => -9.65
K = 8, Run (1,2,3): fitness => -9.62
K = 8, Run (1,2,4): fitness => -9.60
K = 8, Run (1,2,5): fitness => -9.60

K = 8, Run (1,3,1): fitness => -9.63
K = 8, Run (1,3,2): fitness => -9.61
K = 8, Run (1,3,3): fitness => -9.60
K = 8, Run (1,3,4): fitness => -9.60
K = 8, Run (1,3,5): fitness => -9.60

K = 8, Run (1,4,1): fitness => -9.60
